Team,Division,Number,Player,Position,Height,Goals,Assists,Ds,Turnovers
Stanford (Stanford (Superfly)),Women's,13,STEPHANIE LIM,Handler,,4,17,4,11
Stanford (Stanford (Superfly)),Women's,14,MONISHA WHITE,Handler,,2,16,11,28
Stanford (Stanford (Superfly)),Women's,16,CHRISTINA LI,Mid,,2,1,,
Stanford (Stanford (Superfly)),Women's,17,JENNIFER THOMPSON,Handler,,,13,3,4
Stanford (Stanford (Superfly)),Women's,24,POOJA DESAI,Deep,,2,1,,1
Stanford (Stanford (Superfly)),Women's,60,CAITLIN GO,Handler,,14,4,1,2
Central Florida (Dogs of War),Men's,0,Kameron Knight,Defense (Cutter),"5'11""",,,,
Central Florida (Dogs of War),Men's,0,Adam Lapikas,,,,,,
Central Florida (Dogs of War),Men's,0,Thomas Schulte,,"5'9""",,1,,
Central Florida (Dogs of War),Men's,1,BRAWLEY ADAMS,Defense (Handler),,3,16,2,6
Central Florida (Dogs of War),Men's,3,TERENCE MURPHY,Defense (Cutter),,12,2,,1
Central Florida (Dogs of War),Men's,4,KYLE REEDY,Defense (Cutter),"6'0""",,,,1
Central Florida (Dogs of War),Men's,5,MICHAEL FAIRLEY,Deep,"6'4""",14,9,,2
Central Florida (Dogs of War),Men's,6,KYLE LOCKWOOD,,,1,1,1,
Central Florida (Dogs of War),Men's,7,JOHN COLLINS,Defense (Cutter),,,,,
Central Florida (Dogs of War),Men's,8,ALEX  BULLOCK,Handler,"5'10""",3,18,4,5
Central Florida (Dogs of War),Men's,9,JACOB RADFORD,Defense (Cutter),"6'1""",,,,
Central Florida (Dogs of War),Men's,10,JAMES DANGLER,,"5'10""",2,,,
Central Florida (Dogs of War),Men's,12,MATTHEW HELMS,Defense (Handler),,,1,,
Central Florida (Dogs of War),Men's,13,ZACHARY MARKS,Defense (Cutter),,3,3,,
Central Florida (Dogs of War),Men's,15,CHAD RUSSOM,Defense (Cutter),"6'2""",,,,
Central Florida (Dogs of War),Men's,25,JEREMY LANGDON,Deep,"6'2""",10,22,,4
Central Florida (Dogs of War),Men's,27,AUSTIN MERCADANTE,Defense (Cutter),"5'11""",5,3,1,
Central Florida (Dogs of War),Men's,30,ANDREW MCKELVEY,Handler,"1'0""",3,1,,
Central Florida (Dogs of War),Men's,32,AUSTIN MALONE,Defense (Cutter),,,,,
Central Florida (Dogs of War),Men's,44,DAVID HANKIN,Defense (Cutter),,4,1,,
Central Florida (Dogs of War),Men's,45,Jeffrey Shapiro,,,1,,,
Central Florida (Dogs of War),Men's,51,MICHAEL TAYLOR,,"1'0""",,1,,
Central Florida (Dogs of War),Men's,74,STUART LITTLE,Defense (Cutter),,22,4,1,3
British Columbia (Thunderbirds),Women's,4,Janelle Siwa,Handler,"5'7""",1,2,,
British Columbia (Thunderbirds),Women's,7,VICTORIA LAM,Handler,,3,8,,3
British Columbia (Thunderbirds),Women's,8,Camille Chanoine,Handler,,1,,,
British Columbia (Thunderbirds),Women's,10,Joanna Lo,Cutter,,4,,,1
British Columbia (Thunderbirds),Women's,15,Naomi Morcilla,Cutter,,4,1,,2
British Columbia (Thunderbirds),Women's,16,Judith Yeo,Handler,,2,2,1,
British Columbia (Thunderbirds),Women's,19,AMY LUO,Cutter,"5'2""",4,,1,
British Columbia (Thunderbirds),Women's,20,Serena Tam,Handler,"5'9""",1,1,,
British Columbia (Thunderbirds),Women's,21,ELLEN AU-YEUNG,Cutter,,7,11,1,1
British Columbia (Thunderbirds),Women's,22,LEAH MULHOLLAND,Cutter,"5'9""",1,2,,1
British Columbia (Thunderbirds),Women's,25,Esther Au,Cutter,"5'2""",1,4,,
British Columbia (Thunderbirds),Women's,27,TERYNN CHAN,Handler,,14,6,,4
British Columbia (Thunderbirds),Women's,30,Svenja Kemmer,Cutter,,1,,,
British Columbia (Thunderbirds),Women's,31,Jessica Chung,Handler,,2,7,1,2
British Columbia (Thunderbirds),Women's,32,Naomi Johnson,Cutter,,4,2,1,
British Columbia (Thunderbirds),Women's,33,Kailin Chang,Cutter,"1'0""",10,4,,1
British Columbia (Thunderbirds),Women's,34,ZOE SUCHE,Cutter,,2,1,,
British Columbia (Thunderbirds),Women's,36,Emma  Madden-Krasnick,Handler,"5'3""",1,,,
British Columbia (Thunderbirds),Women's,44,ERIN BUSSIN,Cutter,"5'3""",5,4,1,
British Columbia (Thunderbirds),Women's,47,VICTORIA MCCANN,Cutter,,9,9,3,2
British Columbia (Thunderbirds),Women's,48,LISA WONG,Cutter,,6,1,,1
British Columbia (Thunderbirds),Women's,50,Elise Caron,Cutter,"5'8""",,,,
British Columbia (Thunderbirds),Women's,66,Evelyn Chan,Handler,,,,,
British Columbia (Thunderbirds),Women's,88,Megan Leong,Handler,,4,7,1,1
British Columbia (Thunderbirds),Women's,91,MIRA DONALDSON,Cutter,,2,18,,
Florida State (DUF),Men's,0,William Boor,,,,,,
Florida State (DUF),Men's,0,ROBERT LARSEN,,,2,1,,
Florida State (DUF),Men's,0,Daniel Miller,,"6'0""",,,,
Florida State (DUF),Men's,0,Stephen  Muir,,"5'8""",,1,,
Florida State (DUF),Men's,1,JASON HOLLERAN,,"6'3""",,1,,2
Florida State (DUF),Men's,2,ROBERT PATTERSON,,,3,3,,
Florida State (DUF),Men's,3,ANDREW RONEY,,,10,23,,5
Florida State (DUF),Men's,5,Thomas Mazza,,"5'10""",4,,1,1
Florida State (DUF),Men's,8,CHENTE ORTIZ,,"5'9""",,,,1
Florida State (DUF),Men's,11,LIAM RAWSON,,,3,,,
Florida State (DUF),Men's,12,WAYDE VOSS,,,3,,,
Florida State (DUF),Men's,14,Austin Bass,,,1,,,
Florida State (DUF),Men's,16,ZACH WERNICK,,,7,3,,
Florida State (DUF),Men's,18,CHRISTOPHER LAROCQUE,,"6'2""",12,40,2,6
Florida State (DUF),Men's,19,BRYCE VOKUS,,"6'0""",,,,
Florida State (DUF),Men's,20,Keno Catabay,,"5'11""",,,,
Florida State (DUF),Men's,22,Spencer Howett,,"5'8""",,,,
Florida State (DUF),Men's,23,PETER VAN BRUSSEL,,"6'3""",,,,
Florida State (DUF),Men's,25,COLE FRIEDES,,,2,,,
Florida State (DUF),Men's,27,CONNOR HOLCOMBE,,,24,8,,1
Florida State (DUF),Men's,28,ANDREW LAROCQUE,,"1'0""",9,8,1,2
Florida State (DUF),Men's,33,KODY COTTON,,"1'0""",3,,,
Florida State (DUF),Men's,35,James Dobson,,,1,,,
Florida State (DUF),Men's,46,BRIAN PHILLIPS,,,6,3,,
Florida State (DUF),Men's,88,SCOTT MOORE,,,2,2,,
Carleton College (Syzygy),Women's,0,MEGAN CHAVEZ,,,11,2,1,
Carleton College (Syzygy),Women's,0,Camila Flowerman,,,1,,,
Carleton College (Syzygy),Women's,0,Ellen Jacobus,,,,,,
Carleton College (Syzygy),Women's,0,MADELEINE PREISS,,"5'7""",,,,
Carleton College (Syzygy),Women's,0,NAOMI PRICE-LAZARUS,,,2,1,,2
Carleton College (Syzygy),Women's,0,Laura Soter,,,1,,,
Carleton College (Syzygy),Women's,0,Elaine Sundberg,,"5'10""",2,,,
Carleton College (Syzygy),Women's,3,LEAH CROMER,,,,,,
Carleton College (Syzygy),Women's,5,EMILY BUCKNER,,,10,15,1,4
Carleton College (Syzygy),Women's,8,Caroline Sheffield,,,6,4,,
Carleton College (Syzygy),Women's,10,LUCIA CHILDS-WALKER,,,3,24,,4
Carleton College (Syzygy),Women's,12,ELIZABETH BORDEN,,,4,7,,5
Carleton College (Syzygy),Women's,14,Claire Rostov,,,3,2,,
Carleton College (Syzygy),Women's,15,Nami Sumida,,,8,3,1,2
Carleton College (Syzygy),Women's,21,AHNA WEEKS,,"1'0""",6,5,1,2
Carleton College (Syzygy),Women's,23,EMILY KAMPA,,,1,2,,
Carleton College (Syzygy),Women's,26,Clara Hazlett-Norman,,,,,,
Carleton College (Syzygy),Women's,35,Caire Thallon,,"5'8""",13,6,,2
Carleton College (Syzygy),Women's,45,KATIE CIAGLO,,,,1,,
Carleton College (Syzygy),Women's,63,JAMIE JOHNSON,,,,,,
Colorado (Mamabird),Men's,0,Jack Drumright,,"6'0""",,,,
Colorado (Mamabird),Men's,0,PATRICK ELLSWORTH,,,,,,
Colorado (Mamabird),Men's,0,JONATHAN STIRK,,,,,,
Colorado (Mamabird),Men's,1,MATTHEW ROBINSON,Handler,"6'9""",1,,,
Colorado (Mamabird),Men's,3,ELLIOTT WOODWARD,Handler,"6'0""",1,,,
Colorado (Mamabird),Men's,6,ERIK HOTALING,Defense (Handler),,,3,,
Colorado (Mamabird),Men's,8,PAWEL JANAS,Defense (Cutter),"5'10""",8,11,,
Colorado (Mamabird),Men's,9,PETER GLEASON,Defense (Cutter),"1'0""",10,6,,
Colorado (Mamabird),Men's,11,JOSHUA CRANE,Mid,,8,5,,
Colorado (Mamabird),Men's,15,MARC KAYLOR,Deep,,1,1,,
Colorado (Mamabird),Men's,16,TOMMY GEBHARDT,Defense (Cutter),"6'3""",,11,,
Colorado (Mamabird),Men's,17,TRISTAN VOSS,Handler,,2,2,,
Colorado (Mamabird),Men's,19,ISAAC CHESTLER,Deep,,,3,,
Colorado (Mamabird),Men's,21,J WESLEY CHOW,Deep,,3,9,,
Colorado (Mamabird),Men's,24,MATT BUBERNAK,Deep,,2,1,,
Colorado (Mamabird),Men's,26,STANLEY PETERSON,Mid,,10,8,,
Colorado (Mamabird),Men's,27,ANDREW COMMANDER,Handler,,2,,,
